"item","dimension"
12,"WM"
42,"WM"
7,"WM"
32,"WM"
56,"IH"
58,"IH"
61,"WM"
49,"PO"
53,"WM"
29,"PO"
51,"WM"
1,"EC"
16,"EC"
6,"EC"
21,"EC"
26,"EC"
11,"EC"
31,"EC"
20,"SH"
10,"SH"
40,"SH"
5,"SH"
43,"IH"
13,"IH"
18,"IH"
36,"EC"
19,"PO"
44,"PO"
38,"IH"
33,"IH"
3,"IH"
63,"WM"
57,"WM"
39,"PO"
55,"WM"
47,"WM"
8,"IH"
45,"SH"
15,"SH"
30,"SH"
35,"SH"
46,"EC"
25,"SH"
9,"PO"
27,"WM"
52,"IH"
48,"IH"
60,"IH"
54,"IH"
62,"IH"
23,"IH"
28,"IH"
22,"WM"
50,"SH"
4,"PO"
34,"PO"
24,"PO"
14,"PO"
37,"WM"
59,"WM"
2,"WM"
17,"WM"
41,"EC"
